PWSID,ZIPCODE
AL0000882,35813
AL0000885,35758
AL0000885,35756
AL0000885,35757
AL0000888,35759
AL0000888,35741
AL0000888,35739
AL0000888,35773
AL0000888,35811
AL0000888,35750
AL0000888,35760
AL0000888,35761
AL0000888,35748
AL0000899,35898
AL0000924,35563
AL0000924,35594
AL0000925,35564
AL0000926,35570
AL0000933,35950
AL0000933,35951
AL0000934,35176
AL0000934,35016
AL0000934,35976
AL0000934,35670
AL0000934,35754
AL0000936,35954
AL0000936,35956
AL0000936,35957
AL0000940,35952
AL0000940,35980
AL0000940,35957
AL0000940,35956
AL0000940,35950
AL0000940,35964
AL0000940,35976
AL0000943,35976
AL0000945,35776
AL0000945,35747
AL0000945,35976
AL0000951,35175
AL0000967,36575
AL0000967,36553
AL0000967,36556
AL0000967,36522
AL0000967,36513
AL0000967,36613
AL0000967,36618
AL0000967,36541
AL0000967,36608
AL0000967,36695
AL0000967,36560
AL0000967,36521
AL0000967,36582
AL0000967,36857
AL0001002,36619
AL0001002,36590
AL0001002,36523
AL0001002,36544
AL0001002,36541
AL0001002,36582
AL0001005,36575
AL0001005,36608
AL0001005,36618
AL0001005,36582
AL0001005,36604
AL0001005,36606
AL0001005,36693
AL0001005,36610
AL0001005,36603
AL0001005,36605
AL0001015,36612
AL0001015,36613
AL0001015,36610
AL0001015,36611
AL0001021,36571
AL0001070,36064
AL0001070,36106
AL0001070,36105
AL0001070,36104
AL0001070,36103
AL0001070,36102
AL0001070,36101
AL0001070,36069
AL0001070,36109
AL0001070,36057
AL0001070,36052
AL0001070,36043
AL0001070,36029
AL0001070,36013
AL0001070,36092
AL0001070,36117
AL0001070,36107
AL0001070,36130
AL0001070,36108
AL0001070,36116
AL0001070,36113
AL0001070,36112
AL0001070,36111
AL0001070,36110
AL0001073,36043
AL0001078,36105
AL0001084,35601
AL0001084,35603
AL0001086,35640
AL0001088,35670
AL0001100,36786
AL0001106,35442
AL0001106,35466
AL0001106,35447
AL0001106,35461
AL0001106,35576
AL0001106,35574
AL0001106,35481
AL0001120,36079
AL0001120,36005
AL0001120,36010
AL0001120,36034
AL0001120,36081
AL0001120,36049
AL0001120,36035
AL0001124,36079
AL0001124,36081
AL0001137,36875
AL0001137,36851
AL0001137,36871
AL0001137,36869
AL0001137,36856
AL0001142,36867
AL0001150,35040
AL0001151,35051
AL0001151,35143
AL0001151,35044
AL0001151,35043
AL0001163,35124
AL0001203,35953
AL0001203,35120
AL0001203,35173
AL0001204,35128
AL0001204,35125
AL0001211,35146
AL0001222,36907
AL0001222,35442
AL0001222,35459
AL0001222,35470
AL0001258,35150
AL0001260,35160
AL0001273,36853
AL0001274,36256
AL0001288,36078
AL0001293,35111
AL0001293,35490
AL0001293,35444
AL0001293,35453
AL0001293,35184
AL0001293,35440
AL0001307,35474
AL0001307,35475
AL0001307,35473
AL0001344,35580
AL0001402,35540
AL0001422,35957
AL0001422,35962
AL0001422,35950
AL0001422,35961
AL0001422,35973
AL0001422,35974
AL0001422,35960
AL0001422,35951
AL0001422,35755
AL0001422,35971
AL0001422,35975
AL0001422,36775
AL0001422,35989
AL0001422,35963
AL0001422,35967
AL0001422,35956
AL0001422,35988
AL0001422,35986
AL0001422,35983
AL0001422,35981
AL0001422,35978
AL0001422,35976
AL0001422,35959
AL0001422,35968
AL0001423,35634
AL0001432,35501
AL0001432,35503
AL0001432,35504
AL0001432,35578
AL0001432,35549
AL0001432,35553
AL0001432,35502
AL0001489,36362
AL0001500,35653
AL0001507,36456
AL0001507,36030
AL0001507,36768
AL0001507,36042
AL0001507,36033
AL0001507,36071
AL0001507,36032
AL0001507,36037
AL0001512,36040
AL0001516,36401
AL0001671,35178
AL0001671,35078
AL0001671,35186
AL0001671,35147
AL0001671,35051
AL0001671,35043
AL0001671,35242
AL0001716,35570
AL0001721,35062
AL0001753,36583
AL0001786,35057
AL0001786,35077
AL0001786,35055
AR0000002,71758
AR0000004,72336
AR0000004,72335
AR0000025,72653
AR0000037,72711
AR0000041,72712
AR0000044,72712
AR0000044,72736
AR0000044,72715
AR0000044,72739
AR0000044,72719
AR0000051,72736
AR0000053,72751
AR0000088,71921
AR0000090,72454
AR0000101,72067
AR0000104,72543
AR0000105,72131
AR0000124,72421
AR0000124,72416
AR0000124,72404
AR0000124,72403
AR0000124,72402
AR0000124,72401
AR0000138,72932
AR0000142,72956
AR0000184,71655
AR0000185,72137
AR0000185,72111
AR0000185,72012
AR0000185,72102
AR0000185,72045
AR0000185,72136
AR0000189,72033
AR0000189,72035
AR0000189,72034
AR0000189,72032
AR0000192,72061
AR0000195,72045
AR0000195,72047
AR0000195,72111
AR0000195,72173
AR0000195,72076
AR0000195,72032
AR0000201,72949
AR0000202,72947
AR0000208,71909
AR0000217,72104
AR0000222,72450
AR0000230,71801
AR0000237,72015
AR0000237,72104
AR0000237,72128
AR0000250,72501
AR0000265,72471
AR0000272,71602
AR0000272,71601
AR0000272,71603
AR0000279,72132
AR0000326,72927
AR0000338,72023
AR0000360,71854
AR0000394,71857
AR0000415,72312
AR0000437,71944
AR0000444,72837
AR0000446,72802
AR0000446,72801
AR0000449,72040
AR0000465,72122
AR0000465,72142
AR0000465,72126
AR0000465,72202
AR0000465,72046
AR0000465,72204
AR0000465,72212
AR0000465,72207
AR0000465,72227
AR0000465,72205
AR0000465,72103
AR0000465,72201
AR0000465,72210
AR0000465,72223
AR0000465,72211
AR0000465,72209
AR0000465,72206
AR0000465,72002
AR0000465,72116
AR0000465,72016
AR0000465,72118
AR0000465,72135
AR0000465,72114
AR0000465,72117
AR0000465,72120
AR0000465,72076
AR0000465,72106
AR0000465,72099
AR0000465,72113
AR0000465,72070
AR0000486,72002
AR0000486,72015
AR0000486,72019
AR0000486,72022
AR0000488,72015
AR0000493,72065
AR0000493,72002
AR0000493,72132
AR0000493,72150
AR0000493,72011
AR0000493,72103
AR0000495,72015
AR0000498,72958
AR0000507,72901
AR0000527,72513
AR0000542,72560
AR0000550,71731
AR0000573,72753
AR0000575,72764
AR0000575,72703
AR0000575,72745
AR0000575,72762
AR0000579,72581
AR0000583,72081
AR0000584,72010
AR0000588,72082
AR0000602,72842
AR0000674,72949
AR0000690,72099
AR0000697,72834
AR0000714,71754
AR0000734,72007
AR0000734,72086
AR0000734,72076
AR0000734,72023
AR0000734,72176
AR0000735,72051
AR0000772,72846
AR0000882,72533
AR0000883,72122
AR0000889,71802
AZ0402010,85635
AZ0402010,85650
AZ0402014,85607
AZ0402078,85613
AZ0403003,86336
AZ0403008,86004
AZ0403008,86005
AZ0403008,86001
AZ0403702,86023
AZ0404032,85541
AZ0404034,85544
AZ0405005,85552
AZ0405005,85546
AZ0407015,85377
AZ0407017,85268
AZ0407025,85033
AZ0407025,85029
AZ0407025,85040
AZ0407025,85021
AZ0407025,85022
AZ0407025,85023
AZ0407025,85024
AZ0407025,85019
AZ0407025,85028
AZ0407025,85018
AZ0407025,85031
AZ0407025,85032
AZ0407025,85253
AZ0407025,85034
AZ0407025,85036
AZ0407025,85035
AZ0407025,85027
AZ0407025,85009
AZ0407025,85001
AZ0407025,85003
AZ0407025,85004
AZ0407025,85005
AZ0407025,85006
AZ0407025,85020
AZ0407025,85008
AZ0407025,85041
AZ0407025,85012
AZ0407025,85013
AZ0407025,85014
AZ0407025,85015
AZ0407025,85016
AZ0407025,85017
AZ0407025,85007
AZ0407025,85305
AZ0407025,85037
AZ0407025,85254
AZ0407025,85255
AZ0407025,85256
AZ0407025,85257
AZ0407025,85250
AZ0407025,85304
AZ0407025,85098
AZ0407025,80306
AZ0407025,85307
AZ0407025,85308
AZ0407025,85310
AZ0407025,85331
AZ0407025,85339
AZ0407025,85262
AZ0407025,85053
AZ0407025,85042
AZ0407025,85043
AZ0407025,85044
AZ0407025,85045
AZ0407025,85048
AZ0407025,85251
AZ0407025,85051
AZ0407025,85353
AZ0407025,85054
AZ0407025,85058
AZ0407025,85083
AZ0407025,85085
AZ0407025,85086
AZ0407025,85087
AZ0407025,85050
AZ0407033,85142
AZ0407033,85143
AZ0407033,85140
AZ0407046,85340
AZ0407046,85395
AZ0407046,85307
AZ0407046,85309
AZ0407046,85392
AZ0407056,85250
AZ0407078,85326
AZ0407088,85353
AZ0407088,85392
AZ0407088,85323
AZ0407090,85286
AZ0407090,85225
AZ0407090,85224
AZ0407090,85226
AZ0407090,85248
AZ0407090,85244
AZ0407090,85246
AZ0407090,85249
AZ0407091,85378
AZ0407091,85335
AZ0407092,85236
AZ0407092,85233
AZ0407092,85142
AZ0407092,85206
AZ0407092,85299
AZ0407092,85121
AZ0407092,85296
AZ0407092,85297
AZ0407092,85295
AZ0407092,85234
AZ0407092,85298
AZ0407093,85303
AZ0407093,85310
AZ0407093,85308
AZ0407093,85305
AZ0407093,85307
AZ0407093,85306
AZ0407093,85304
AZ0407093,85302
AZ0407093,85301
AZ0407095,85209
AZ0407095,85215
AZ0407095,85212
AZ0407095,85201
AZ0407095,85275
AZ0407095,85213
AZ0407095,85210
AZ0407095,85208
AZ0407095,85202
AZ0407095,85206
AZ0407095,85216
AZ0407095,85207
AZ0407095,85204
AZ0407095,85214
AZ0407095,85277
AZ0407095,85205
AZ0407095,85296
AZ0407095,85211
