PWSID,ZIPCODE
AZ0407095,85208
AZ0407095,85209
AZ0407095,85210
AZ0407095,85211
AZ0407095,85212
AZ0407095,85213
AZ0407095,85214
AZ0407095,85215
AZ0407095,85216
AZ0407096,85085
AZ0407098,85250
AZ0407098,85251
AZ0407098,85253
AZ0407098,85254
AZ0407098,85255
AZ0407098,85257
AZ0407098,85258
AZ0407098,85259
AZ0407098,85260
AZ0407098,85262
AZ0407098,85266
AZ0407098,85331
AZ0407099,85027
AZ0407100,85280
AZ0407100,85281
AZ0407100,85282
AZ0407100,85283
AZ0407100,85284
AZ0407120,85248
AZ0407150,85027
AZ0407154,85326
AZ0407500,85374
AZ0407504,85027
AZ0407695,85027
AZ0408020,86401
AZ0408022,86403
AZ0408022,86404
AZ0408022,86405
AZ0408022,86406
AZ0408032,85027
AZ0408063,86426
AZ0409003,85929
AZ0409004,85933
AZ0410004,85622
AZ0410051,85705
AZ0410076,85704
AZ0410112,85629
AZ0410112,85641
AZ0410112,85658
AZ0410112,85701
AZ0410112,85704
AZ0410112,85705
AZ0410112,85706
AZ0410112,85707
AZ0410112,85708
AZ0410112,85709
AZ0410112,85710
AZ0410112,85711
AZ0410112,85712
AZ0410112,85713
AZ0410112,85714
AZ0410112,85715
AZ0410112,85716
AZ0410112,85718
AZ0410112,85719
AZ0410112,85726
AZ0410112,85730
AZ0410112,85735
AZ0410112,85736
AZ0410112,85737
AZ0410112,85739
AZ0410112,85741
AZ0410112,85742
AZ0410112,85743
AZ0410112,85745
AZ0410112,85746
AZ0410112,85747
AZ0410112,85748
AZ0410112,85749
AZ0410112,85750
AZ0410112,85756
AZ0410112,85757
AZ0410164,85737
AZ0410312,85629
AZ0411004,85119
AZ0411004,85120
AZ0411009,85122
AZ0411009,85128
AZ0411009,85193
AZ0411009,85194
AZ0411017,85232
AZ0411039,85178
AZ0411060,85242
AZ0411117,85248
AZ0411128,85254
AZ0411131,85138
AZ0411131,85139
AZ0412004,85621
AZ0412011,85635
AZ0413025,86326
AZ0413045,86302
AZ0413048,86314
