,CollectionDate,ZIPCODE,AnalyticalResultValue
0,2013,48103,5.35
1,2013,48116,2.225
2,2013,48117,1.24604
3,2013,48131,1.24604
4,2013,48140,1.24604
5,2013,48145,1.24604
6,2013,48159,1.24604
7,2013,48161,1.24604
8,2013,48162,1.24604
9,2013,48176,2.09765
10,2013,48306,5.6825
11,2013,48327,6.913043478260868
12,2013,48328,6.913043478260868
13,2013,48329,6.913043478260868
14,2013,48346,7.508333333333333
15,2013,48363,5.6825
16,2013,48858,1.3199999999999998
17,2013,49002,1.8714
18,2013,49007,1.25
19,2013,49022,1.1
20,2013,49032,1.581
21,2013,49036,3.5250000000000004
22,2013,49085,1.15
23,2013,49201,1.7319625
24,2013,49202,1.7319625
25,2013,49203,1.7319625
26,2013,49204,1.7319625
27,2013,49221,12.7
28,2013,49270,1.24604
29,2013,49315,1.0986
30,2013,49316,1.0986
31,2013,49348,1.0986
32,2013,49423,1.0833333333333333
33,2013,49424,1.021
34,2013,49428,1.05
35,2013,49441,1.1
36,2013,49442,1.0810000000000002
37,2013,49445,1.0810000000000002
38,2013,49457,1.0810000000000002
39,2013,49461,1.0810000000000002
40,2013,49506,1.0
41,2013,49508,1.0986
42,2013,49509,1.0274999999999999
43,2013,49512,1.0986
44,2013,49525,1.1
45,2013,49548,1.0986
46,2013,49749,1.1035
