,CollectionDate,ZIPCODE,AnalyticalResultValue
0,2018,48030,11.5
1,2018,48047,7.5
2,2018,48080,0.6366666666666666
3,2018,48101,2.033333333333333
4,2018,48103,1.2530000000000001
5,2018,48111,0.8356666666666667
6,2018,48117,0.7375
7,2018,48131,0.443
8,2018,48134,0.8356666666666667
9,2018,48135,1.3599999999999999
10,2018,48140,0.443
11,2018,48159,0.443
12,2018,48161,0.443
13,2018,48162,0.443
14,2018,48164,0.8356666666666667
15,2018,48174,0.8356666666666667
16,2018,48178,0.69
17,2018,48180,11.774000000000001
18,2018,48182,0.83
19,2018,48183,1.98
20,2018,48184,12.1095
21,2018,48195,0.5655
22,2018,48197,17.2
23,2018,48198,17.2
24,2018,48220,0.8
25,2018,48225,0.6366666666666666
26,2018,48239,7.847894736842106
27,2018,48310,0.7
28,2018,48312,0.7
29,2018,48313,0.7
30,2018,48314,0.7
31,2018,48317,0.702
32,2018,48327,7.847894736842106
33,2018,48328,7.847894736842106
34,2018,48420,0.76
35,2018,48423,0.76
36,2018,48433,0.76
37,2018,48437,18.52
38,2018,48439,0.76
39,2018,48457,0.76
40,2018,48458,9.64
41,2018,48473,0.76
42,2018,48504,0.76
43,2018,48505,7.8152
44,2018,48506,12.518666666666666
45,2018,48507,0.76
46,2018,48509,13.55
47,2018,48519,13.55
48,2018,48529,13.55
49,2018,48532,0.76
50,2018,48609,0.546
51,2018,48623,0.546
52,2018,48636,0.546
53,2018,48806,78.58850000000001
54,2018,48821,0.491
55,2018,48837,13.658000000000001
56,2018,48906,0.491
57,2018,48917,0.491
58,2018,49014,8.429
59,2018,49036,43.6
60,2018,49037,271.623
61,2018,49270,0.443
62,2018,49315,0.436
63,2018,49316,0.436
64,2018,49348,0.436
65,2018,49418,0.436
66,2018,49442,139.14
67,2018,49508,0.436
68,2018,49512,0.436
69,2018,49519,0.436
70,2018,49548,0.436
71,2018,49670,12.780999999999999
72,2018,49946,0.495
