,CollectionDate,ZIPCODE,AnalyticalResultValue
80,2015,48133,2.4624999999999995
81,2015,48178,6.489999999999999
82,2015,48336,3.1495
83,2015,48462,6.180999999999999
84,2015,48505,8.691666666666666
85,2015,48817,1.044
86,2015,48823,5.25
87,2015,48824,1.3855
88,2015,48840,5.275
89,2015,48846,1.08
90,2015,48864,5.275
91,2015,48901,1.0833333333333335
92,2015,49091,1.4909090909090912
93,2015,49128,2.77675
94,2015,49307,1.1
95,2015,49401,1.0374999999999999
96,2015,49417,1.0888888888888888
97,2015,49418,1.0785
98,2015,49422,1.0332000000000001
99,2015,49424,1.0402
100,2015,49441,1.0359285714285715
101,2015,49505,1.2
102,2015,49684,1.05
